Neuron,FPS,Peak Intensities,Distances,Peak Location (s),Peak Value,Amplitude,FWHM (s),Mean Rise Rate (s^-1),Stdev Mean Rise Rate(s^-1),Peak Rise Rate (s^-1),Mean Fall Rate(s^-1),Stdev Mean Fall Rate(s^-1),Peak Fall Rate (s^-1),Cell Info,,,,,,,,,
1.294929,0.955855,0.958956,0.992761,1.242766,1.17016,1.04944,1.036207,1.218253,1.342493,0.889318,1.502444,1.776621,1.01476,1.385006,1.366387,1.228616,1.117189,1.265207,1.036302,1.104347,1.400016,1.552066,2.081584
1.283613,0.95126,0.955942,0.986603,1.251887,1.174839,1.044924,1.042455,1.219395,1.322937,0.880985,1.508285,1.747376,0.989593,1.379073,1.34637,1.218516,1.069544,1.249067,1.031073,1.102404,1.3838,1.528766,2.068129
1.278194,0.946224,0.948405,0.993045,1.230531,1.135661,1.043452,1.034602,1.186246,1.322072,0.878198,1.481597,1.740957,0.997107,1.361719,1.346137,1.227347,1.069987,1.2283,1.019803,1.077812,1.377055,1.519742,2.041957
1.326663,0.938648,0.953951,0.998172,1.224857,1.144209,1.039478,1.034287,1.207859,1.303218,0.885693,1.504308,1.75308,0.988116,1.384068,1.348218,1.230473,1.077614,1.195909,1.037368,1.074017,1.384976,1.514585,2.057671
1.329635,0.954842,0.955995,0.996509,1.240685,1.17289,1.03692,1.026036,1.230704,1.303101,0.862946,1.490766,1.706689,0.995872,1.380676,1.340371,1.232057,1.093103,1.230672,1.027595,1.078162,1.376813,1.522488,2.058569
1.307479,0.959958,0.947011,0.992036,1.239339,1.145674,1.033295,1.027822,1.256359,1.276498,0.863182,1.50949,1.6947,0.991425,1.36305,1.337878,1.232072,1.102025,1.254889,1.046972,1.068861,1.372142,1.509886,2.028839
1.327359,0.953752,0.95118,1.003123,1.228574,1.159947,1.0423,1.024638,1.241889,1.285396,0.87508,1.518432,1.674975,0.985751,1.354568,1.338537,1.252722,1.105974,1.246595,1.0514,1.075531,1.361805,1.499952,2.028042
1.34819,0.957115,0.95012,0.982989,1.22387,1.146344,1.021561,1.023459,1.200456,1.293254,0.861357,1.476606,1.658121,0.985816,1.357398,1.322889,1.20928,1.113937,1.272347,1.028128,1.071534,1.361478,1.486772,1.983042
1.322692,0.946458,0.941114,0.988644,1.229491,1.142884,1.028448,1.024986,1.176851,1.262417,0.841047,1.448239,1.654495,0.964905,1.331542,1.323006,1.196138,1.09353,1.223143,1.014011,1.062151,1.342814,1.467901,1.959956
1.350164,0.95938,0.948635,0.995662,1.28688,1.179921,1.03886,1.041944,1.204546,1.268277,0.879305,1.471572,1.627215,0.966838,1.346311,1.331019,1.216987,1.153612,1.27567,1.041484,1.065987,1.357731,1.489611,1.926393
1.360708,0.957852,0.942843,1.014176,1.244545,1.187098,1.040055,1.048053,1.180239,1.266718,0.880989,1.439237,1.624131,0.986729,1.365094,1.323341,1.248342,1.135002,1.20863,1.046275,1.072113,1.392219,1.495135,1.893287
1.340093,0.950791,0.942734,0.995024,1.232882,1.154299,1.037001,1.018424,1.213654,1.233996,0.87627,1.413433,1.612333,0.981562,1.343519,1.339223,1.257111,1.12031,1.240231,1.040486,1.056581,1.365411,1.483787,1.887189
1.386911,0.957283,0.952118,1.013485,1.218742,1.154152,1.03771,1.024082,1.198031,1.234797,0.857018,1.390714,1.58857,0.971504,1.333021,1.323243,1.229195,1.117281,1.225309,1.0462,1.058997,1.346294,1.468408,1.886247
1.36128,0.957881,0.951406,0.992218,1.217493,1.108502,1.019625,1.027247,1.180332,1.237036,0.847898,1.389279,1.582406,0.988724,1.31174,1.321372,1.2336,1.11023,1.206973,1.045416,1.067043,1.328833,1.456007,1.878858
1.341615,0.94875,0.948353,0.988701,1.192299,1.11913,1.02285,1.018799,1.16966,1.219566,0.842355,1.439608,1.573318,0.976136,1.325251,1.30675,1.221089,1.104185,1.207372,1.030663,1.050405,1.310816,1.448225,1.858759
1.325525,0.95781,0.950675,0.99582,1.213141,1.120986,1.027007,1.028512,1.207775,1.223507,0.845216,1.44988,1.537892,0.967179,1.345564,1.308011,1.218372,1.093345,1.216652,1.042288,1.060203,1.303358,1.462068,1.867283
1.334489,0.959101,0.948425,1.004007,1.225778,1.150008,1.023572,1.008508,1.212521,1.209579,0.852271,1.439224,1.50051,0.973466,1.330968,1.296404,1.22838,1.111143,1.254547,1.036571,1.051044,1.300107,1.452468,1.854519
1.304155,0.936559,0.948146,1.001371,1.231288,1.151087,1.024053,1.012667,1.202758,1.193154,0.85828,1.423943,1.507427,0.957547,1.33958,1.28653,1.206929,1.108738,1.25196,1.031181,1.050455,1.282206,1.4206,1.864902
1.30694,0.962531,0.935906,0.996293,1.226237,1.113915,1.008406,1.006391,1.171304,1.193127,0.837231,1.410229,1.47996,0.967049,1.340482,1.292286,1.232792,1.105152,1.258205,1.037425,1.064854,1.294374,1.420047,1.834408
1.303357,0.947867,0.94483,0.997208,1.215796,1.090692,1.014597,1.016795,1.143014,1.180312,0.843546,1.413514,1.463593,0.950839,1.327897,1.288213,1.198663,1.078436,1.28534,1.036832,1.076782,1.292313,1.446015,1.817642
1.29346,0.949862,0.952162,1.018727,1.211939,1.087641,1.018268,0.998178,1.148304,1.192393,0.835397,1.38979,1.448166,0.944668,1.324465,1.301152,1.227527,1.090996,1.247257,1.044405,1.059309,1.258877,1.42253,1.8297
1.319372,0.952046,0.947318,0.996215,1.23418,1.11431,1.014346,1.035554,1.131198,1.211229,0.850616,1.367281,1.431903,0.95217,1.312776,1.29292,1.236213,1.093782,1.215734,1.062884,1.042321,1.2573,1.41679,1.832048
1.317377,0.966174,0.946038,1.022994,1.223403,1.089967,1.017783,1.05813,1.149234,1.189659,0.833862,1.36415,1.417766,0.943255,1.301213,1.299918,1.23227,1.107976,1.24379,1.060499,1.03957,1.24561,1.40828,1.807077
1.309454,0.946915,0.944724,0.985661,1.254321,1.118854,1.007481,1.05817,1.126316,1.158416,0.82087,1.328203,1.393137,0.942288,1.299982,1.287167,1.185207,1.15271,1.190823,1.0624,1.041262,1.216814,1.392863,1.764404
1.338908,0.949877,0.938824,1.011924,1.257729,1.135698,1.042383,1.056609,1.103253,1.156581,0.843624,1.333217,1.398818,0.931456,1.314617,1.297188,1.21626,1.135771,1.226348,1.057239,1.066468,1.231429,1.392335,1.754215
1.347321,0.972266,0.946076,1.016831,1.274876,1.15993,1.038889,1.06398,1.126927,1.1608,0.82599,1.304401,1.377081,0.943101,1.326324,1.303547,1.246056,1.175482,1.231252,1.037276,1.109841,1.211703,1.397675,1.763263
1.375833,0.962193,0.957355,1.016387,1.331062,1.174068,1.04917,1.062156,1.132775,1.152689,0.85592,1.306937,1.364992,0.934547,1.299484,1.293458,1.248226,1.161158,1.230007,1.054142,1.088267,1.198209,1.370508,1.768496
1.372365,0.972212,0.964965,1.009236,1.356924,1.215289,1.041919,1.051882,1.142504,1.143256,0.848218,1.285964,1.368704,0.962125,1.304542,1.292207,1.269257,1.204448,1.243202,1.046877,1.084797,1.199744,1.349432,1.751442
1.372039,0.972172,0.950713,1.033483,1.354304,1.286106,1.043194,1.046332,1.158656,1.12167,0.835652,1.281176,1.346927,0.929504,1.290319,1.279392,1.243398,1.212358,1.288297,1.070764,1.094366,1.174325,1.343656,1.750357
1.388706,0.959683,0.965633,1.011943,1.421698,1.30675,1.068108,1.059825,1.159046,1.127365,0.8442,1.294086,1.346129,0.939508,1.297852,1.283033,1.277891,1.281729,1.238007,1.106175,1.081525,1.18423,1.341155,1.743174
1.357232,0.962765,0.943554,1.011292,1.508918,1.496065,1.044817,1.041202,1.186454,1.129823,0.825221,1.281928,1.316888,0.930761,1.288833,1.265586,1.234215,1.352102,1.251702,1.087325,1.075584,1.156814,1.33802,1.702889
1.359673,0.970923,0.964698,1.013716,1.636434,1.533103,1.052648,1.051932,1.143929,1.124117,0.809904,1.276674,1.31998,0.930602,1.277142,1.287402,1.233208,1.332553,1.25262,1.079951,1.080691,1.165789,1.335193,1.677216
1.383259,0.963727,0.964934,1.020585,1.609599,1.453668,1.027325,1.038656,1.107312,1.123446,0.822287,1.280402,1.325225,0.949684,1.295182,1.297015,1.278185,1.260954,1.282603,1.069245,1.096847,1.163871,1.335041,1.675953
1.372572,0.962313,0.945769,1.021478,1.523084,1.365212,1.010972,1.014191,1.128178,1.130458,0.820009,1.259924,1.306607,0.925731,1.274766,1.292072,1.229112,1.248559,1.288646,1.048645,1.066549,1.15213,1.327378,1.681876
1.389085,0.962895,0.939779,1.014556,1.431976,1.29065,1.017518,1.024854,1.082532,1.122541,0.812931,1.276545,1.327099,0.932327,1.277409,1.289721,1.29661,1.242897,1.276319,1.0523,1.059031,1.15199,1.313971,1.664565
1.359048,0.956934,0.938058,1.000237,1.399311,1.319245,1.009076,1.026225,1.09081,1.115018,0.794804,1.269269,1.295035,0.917814,1.274713,1.298281,1.430511,1.235033,1.231979,1.066736,1.051739,1.145001,1.31935,1.684947
1.370654,0.96338,0.944465,0.998173,1.407523,1.250033,1.02811,1.033666,1.094847,1.110376,0.794096,1.250975,1.302844,0.90213,1.264858,1.293495,1.222876,1.247409,1.322711,1.082203,1.102173,1.12795,1.297096,1.657847
1.365614,0.975797,0.953409,1.027217,1.400396,1.253941,1.06396,1.080026,1.091624,1.105352,0.785909,1.246483,1.316434,0.899914,1.26102,1.284778,1.141042,1.260295,1.309574,1.105694,1.078687,1.137677,1.288201,1.640713
1.384663,0.977056,0.938934,1.028156,1.404068,1.247826,1.043552,1.069381,1.101306,1.105346,0.795398,1.236544,1.279867,0.911812,1.278967,1.278605,1.15283,1.289708,1.284578,1.10768,1.083605,1.126422,1.295414,1.656291
1.370047,0.968076,0.942409,1.007393,1.434187,1.273284,1.022776,1.050012,1.057402,1.103472,0.807937,1.245473,1.268626,0.902394,1.281141,1.269855,1.116778,1.312855,1.246678,1.08307,1.051488,1.114814,1.294419,1.627387
1.360418,0.968212,0.966797,1.022611,1.388095,1.292035,1.030769,1.042965,1.100119,1.088288,0.785252,1.273261,1.264714,0.915759,1.269527,1.289688,1.130783,1.301215,1.255755,1.079339,1.072629,1.124516,1.284257,1.621604
1.38805,0.974263,0.957237,0.983551,1.377241,1.272417,1.029155,1.054988,1.1019,1.095851,0.792395,1.242865,1.243433,0.912161,1.260304,1.273901,1.133069,1.270286,1.336231,1.082207,1.096544,1.141178,1.277038,1.614259
1.378934,0.966132,0.95722,0.998247,1.342695,1.278117,1.055043,1.05389,1.071813,1.093466,0.779975,1.242477,1.238675,0.898698,1.265515,1.256444,1.161786,1.259049,1.365841,1.198673,1.072441,1.117384,1.257489,1.595357
1.381428,0.957267,0.946339,1.002632,1.352873,1.29463,1.016578,1.061395,1.045672,1.097375,0.776977,1.233831,1.234847,0.905484,1.266668,1.266613,1.220141,1.244472,1.232209,1.078526,1.074167,1.129175,1.256345,1.573988
1.378557,0.967876,0.944766,1.008692,1.368923,1.26608,1.009251,1.025798,1.074463,1.105488,0.773299,1.22139,1.225722,0.907279,1.258584,1.275593,1.206841,1.292929,1.207962,1.026375,1.094235,1.131007,1.263657,1.591123
1.384794,0.970463,0.93995,1.009408,1.378997,1.286268,1.036733,1.038777,1.042885,1.098882,0.775438,1.225109,1.224742,0.912563,1.253335,1.251349,1.137634,1.310319,1.207926,1.011069,1.122062,1.129617,1.250084,1.576762
1.398398,0.967997,0.942695,1.017054,1.358117,1.298208,1.035033,1.054605,1.04749,1.085535,0.788673,1.238759,1.197231,0.913472,1.26093,1.244728,1.12923,1.331513,1.186751,0.994621,1.079202,1.106231,1.245434,1.567533
1.38608,0.978505,0.95216,1.003628,1.363726,1.260007,1.053422,1.049634,1.036957,1.081474,0.792014,1.223225,1.19526,0.907824,1.251178,1.247908,1.185202,1.289362,1.170805,0.99414,1.06815,1.111846,1.249064,1.559723
1.412923,0.985298,0.96184,1.035041,1.34493,1.250318,1.040169,1.035103,1.06127,1.094618,0.801262,1.221428,1.196153,0.919647,1.264271,1.251375,1.184617,1.33823,1.266934,1.028456,1.069811,1.126544,1.244696,1.553733
1.426388,0.989188,0.963174,1.026728,1.327291,1.219203,0.995671,1.027955,1.033042,1.078157,0.816918,1.211119,1.181097,0.914937,1.252836,1.253961,1.128896,1.301625,1.245899,1.036648,1.061014,1.122537,1.235316,1.53919
1.431654,0.983604,0.965264,1.022161,1.316172,1.186709,1.00549,1.048257,1.077075,1.087916,0.798752,1.209692,1.178744,0.906459,1.246673,1.258864,1.171284,1.326777,1.222003,1.03317,1.026959,1.103358,1.235469,1.537767
1.398031,0.980498,0.965781,1.023309,1.317625,1.207091,0.99099,1.02624,1.074423,1.083158,0.779949,1.217205,1.170064,0.894973,1.246859,1.269275,1.158315,1.282797,1.216595,1.045071,1.053833,1.110514,1.219588,1.520922
1.397646,0.992871,0.966778,1.04026,1.30821,1.188786,1.019212,1.010707,1.075643,1.082904,0.792815,1.220898,1.177606,0.91127,1.279128,1.255533,1.185427,1.251599,1.204214,1.073319,1.122366,1.117225,1.22734,1.528442
1.387627,0.975759,0.957147,1.028401,1.284014,1.175365,1.055195,1.00635,1.080205,1.073426,0.803707,1.183462,1.158889,0.900638,1.240497,1.260857,1.157276,1.184953,1.159246,1.062296,1.116826,1.109428,1.202558,1.502398
1.395452,0.985476,0.967112,1.020557,1.313574,1.124633,1.11696,1.035846,1.014279,1.058476,0.795216,1.172485,1.151184,0.903353,1.218359,1.238369,1.172607,1.157581,1.142985,1.092809,1.176636,1.107197,1.194895,1.498997
1.398316,0.96356,0.949087,1.004638,1.344329,1.11523,1.059271,1.018647,1.020317,1.05629,0.796291,1.176763,1.133604,0.876457,1.227221,1.247267,1.110336,1.133765,1.184366,1.075223,1.138658,1.092273,1.194922,1.510108
1.369293,0.971477,0.943497,1.011216,1.339562,1.124292,1.072987,1.025644,1.039756,1.059986,0.788004,1.16662,1.136218,0.871638,1.228605,1.234263,1.093645,1.11565,1.167689,1.051074,1.140233,1.086124,1.179366,1.507521
1.407073,0.968228,0.95501,1.044108,1.376422,1.162088,1.05777,1.02576,1.020703,1.053453,0.787985,1.156986,1.124057,0.882073,1.229514,1.242539,1.173144,1.137184,1.147109,1.049923,1.097185,1.089353,1.177704,1.504608
1.378272,0.968981,0.960762,1.042008,1.436623,1.182347,1.014562,1.029673,1.026331,1.067461,0.792333,1.18283,1.123444,0.898431,1.240408,1.241909,1.162032,1.135655,1.228167,1.067089,1.079987,1.077345,1.162321,1.51704
1.405375,0.976238,0.952197,1.055636,1.435908,1.145377,0.994829,1.015192,1.000232,1.066291,0.781913,1.331751,1.128211,0.896402,1.245383,1.248435,1.11158,1.129585,1.225647,1.056604,1.086908,1.086388,1.192016,1.587081
1.396685,0.979054,0.951396,1.044057,1.400485,1.155313,1.077022,1.031688,1.034801,1.054962,0.793075,1.329638,1.133423,0.88413,1.226465,1.227952,1.077138,1.17496,1.208943,1.093999,1.177321,1.077726,1.176076,1.606548
1.392199,0.976935,0.94873,1.054354,1.372114,1.122968,1.058384,1.018133,1.025669,1.061759,0.798248,1.24284,1.113659,0.900393,1.223905,1.215672,1.090204,1.160267,1.265656,1.12269,1.124849,1.082458,1.168299,1.602095
1.40687,0.962519,0.958597,1.045434,1.314843,1.145931,1.037767,1.028212,1.027258,1.04606,0.782071,1.201007,1.120992,0.888113,1.216745,1.242115,1.119414,1.164723,1.247746,1.095886,1.107423,1.074655,1.165674,1.570671
1.380538,0.978752,0.94657,1.053176,1.305957,1.163963,0.988841,1.000511,1.050251,1.039307,0.784733,1.152578,1.127281,0.879244,1.209802,1.220211,1.168382,1.193632,1.185056,1.039762,1.070333,1.061659,1.14008,1.515982
1.41342,0.976214,0.926282,1.024361,1.273377,1.145515,0.972943,0.988051,1.005797,1.028699,0.800262,1.134813,1.102427,0.868902,1.220417,1.21544,1.084214,1.219701,1.15386,1.020832,1.037404,1.052407,1.127424,1.47936
1.422298,0.96622,0.956906,1.055044,1.26194,1.097411,0.948623,0.983255,1.012908,1.026237,0.776729,1.106916,1.119723,0.881857,1.218726,1.230197,1.104131,1.190064,1.168702,0.985352,1.012983,1.061834,1.123601,1.447333
1.444131,0.967077,0.945222,1.058871,1.249917,1.075033,0.956251,0.97829,0.997234,1.023318,0.766292,1.113929,1.104986,0.883966,1.21598,1.223788,1.139628,1.131665,1.158862,0.998763,1.023231,1.057513,1.118581,1.433082
1.442227,0.975005,0.94699,1.032816,1.241281,1.095481,0.967587,1.002712,0.999276,1.04234,0.783169,1.11966,1.107573,0.879277,1.205063,1.223331,1.103842,1.149038,1.142519,0.993459,1.039881,1.063386,1.123611,1.408057
1.441583,0.966685,0.953978,1.030571,1.24408,1.08508,1.015765,1.030896,0.999712,1.045064,0.772316,1.115313,1.115963,0.896286,1.221425,1.225838,1.139069,1.148837,1.150324,1.032583,1.075224,1.069432,1.107903,1.385063
1.409164,0.971129,0.94468,1.027223,1.277321,1.078867,1.039011,1.043377,0.990827,1.037405,0.761642,1.090051,1.094869,0.886598,1.210469,1.224409,1.263766,1.184036,1.170015,1.099706,1.172807,1.053736,1.101663,1.366703
1.420127,0.971808,0.958671,1.020985,1.244709,1.081145,1.100161,1.064105,0.996176,1.038929,0.792455,1.115728,1.119176,0.880565,1.213126,1.254606,1.098657,1.139692,1.152869,1.10543,1.152554,1.063015,1.097988,1.355763
1.426842,0.973708,0.945316,1.012015,1.243322,1.050672,1.026489,1.055973,0.982492,1.022605,0.791193,1.108887,1.10513,0.888101,1.219918,1.249513,1.078694,1.146841,1.160989,1.057939,1.086994,1.076076,1.110627,1.36148
1.399313,0.945661,0.927007,1.030869,1.217917,1.009825,1.007785,1.019862,0.965462,1.010807,0.767786,1.094815,1.085937,0.857706,1.198878,1.224605,1.039969,1.076199,1.143993,1.023099,1.057014,1.046251,1.080107,1.334612
1.400429,0.983216,0.948268,1.02192,1.176203,1.010035,1.014828,1.025423,0.99095,1.021892,0.789672,1.106053,1.106156,0.871505,1.208916,1.203188,1.012608,1.065535,1.108253,1.017452,1.104453,1.071138,1.082517,1.335601
1.400018,0.980665,0.95205,1.019087,1.183497,1.005831,1.03441,1.035775,1.009571,1.015455,0.785783,1.100374,1.093021,0.864774,1.194026,1.20788,1.019424,1.071488,1.115637,1.021977,1.11467,1.060117,1.077197,1.33998
1.40535,0.988416,0.971041,1.032931,1.17778,1.024123,1.086506,1.04778,1.003678,1.022866,0.77982,1.112479,1.084822,0.870565,1.202449,1.211746,1.014695,1.10713,1.148506,1.068532,1.16285,1.062889,1.079127,1.319134
1.400892,0.968141,0.945851,1.028247,1.195816,1.003828,1.061023,1.044707,0.973309,1.014303,0.762865,1.087952,1.104147,0.867579,1.178504,1.191677,1.016472,1.099301,1.130228,1.037511,1.091193,1.048473,1.064529,1.311831
1.405508,0.977743,0.951344,1.015892,1.159336,1.015075,1.032282,1.035794,0.990475,1.008023,0.757324,1.09797,1.078058,0.882612,1.199592,1.210588,1.053215,1.089166,1.140495,1.047219,1.086757,1.056226,1.054913,1.292631
1.384918,0.961943,0.942952,1.019669,1.169641,1.029073,1.036515,1.05694,1.014659,1.00684,0.784098,1.083961,1.066826,0.858471,1.170178,1.211462,1.05803,1.048516,1.163137,1.044502,1.099582,1.036914,1.05213,1.30627
1.415513,0.972509,0.955972,1.037913,1.195318,1.031289,1.045213,1.076584,1.016021,1.02696,0.788656,1.099723,1.084625,0.87242,1.19274,1.214817,1.065287,1.034651,1.12372,1.040186,1.106669,1.040331,1.051908,1.319994
1.390167,0.973004,0.948385,1.02689,1.201346,0.995116,1.016616,1.05502,1.036333,1.02706,0.795292,1.083472,1.050224,0.856858,1.196356,1.200255,1.068834,1.027536,1.139073,1.01279,1.093341,1.040175,1.050531,1.319741
1.379886,0.95681,0.949362,1.05438,1.208278,1.022502,1.051087,1.0863,1.012539,1.021386,0.789219,1.089639,1.05842,0.862073,1.203706,1.1932,1.086841,1.041731,1.131849,1.036918,1.108291,1.049048,1.041221,1.320695
1.389064,0.980426,0.95977,1.040571,1.215338,1.01102,1.083161,1.112273,0.989776,1.051376,0.789757,1.081287,1.065062,0.862422,1.191068,1.208527,1.100558,1.046235,1.128982,1.005861,1.105365,1.054135,1.045653,1.316096
1.358111,0.977041,0.946998,1.063927,1.198209,0.998984,1.04606,1.091963,1.008362,1.04508,0.799877,1.100166,1.081051,0.870551,1.202332,1.201568,1.088983,1.068872,1.139421,1.004885,1.088468,1.037318,1.036666,1.305739
1.37361,0.977932,0.956195,1.063452,1.195715,0.992709,1.039873,1.053059,0.97756,1.027429,0.794415,1.08483,1.041487,0.863897,1.176334,1.201039,1.041733,1.060884,1.134329,1.018523,1.091057,1.0381,1.033894,1.285512
1.382895,0.979986,0.945838,1.075293,1.163008,0.991133,1.053291,1.091625,0.983493,1.033673,0.772299,1.091775,1.0398,0.866237,1.180994,1.212941,1.061574,1.04464,1.157312,1.038185,1.087139,1.041772,1.02534,1.284383
1.399189,0.985887,0.967959,1.085116,1.179284,1.03074,1.084815,1.102563,0.979544,1.041617,0.781901,1.098558,1.047819,0.854122,1.190994,1.216702,1.091229,1.058347,1.136356,1.064433,1.147881,1.036555,1.036098,1.275022
1.389838,0.993547,0.963972,1.077991,1.204162,1.025155,1.091325,1.101055,0.995513,1.044062,0.788484,1.089323,1.02937,0.869237,1.188787,1.207999,1.095676,1.071044,1.092571,1.056662,1.146096,1.046989,1.03502,1.272585
1.380244,0.990317,0.963003,1.072902,1.225696,1.012732,1.078824,1.075901,1.008228,1.046292,0.776253,1.073729,1.025266,0.873756,1.18166,1.226201,1.079269,1.051081,1.116701,1.087634,1.169629,1.043659,1.03564,1.280946
1.394119,0.979624,0.962856,1.074374,1.209582,1.012776,1.082144,1.069912,1.024465,1.047492,0.795372,1.074646,1.016595,0.878619,1.18356,1.22324,1.044948,1.041619,1.166619,1.050021,1.184605,1.045512,1.03129,1.277145
1.383232,0.973493,0.947087,1.063175,1.197854,1.005704,1.104393,1.052962,0.972313,1.040705,0.782858,1.062617,1.014962,0.865841,1.184566,1.198909,0.980837,1.046875,1.138448,1.013485,1.154046,1.026558,1.017836,1.267989
1.390328,0.976652,0.954952,1.075542,1.184546,0.996247,1.085478,1.048678,0.965664,1.022893,0.770198,1.061015,1.012801,0.871979,1.165021,1.191802,1.00228,1.039066,1.130441,1.026189,1.133276,1.041968,1.005521,1.254297
1.379691,0.984619,0.957116,1.063733,1.204548,1.008296,1.051101,1.073854,0.983768,1.027208,0.79212,1.06228,1.00365,0.859185,1.176474,1.224894,1.056382,1.060444,1.16691,1.010652,1.121295,1.035144,1.006168,1.262203
1.387208,0.991145,0.963375,1.061088,1.236122,1.031259,1.046588,1.097358,0.987821,1.042555,0.793426,1.073407,0.99893,0.877798,1.18774,1.22232,1.074094,1.096642,1.155089,1.027818,1.122777,1.037319,1.020128,1.272125
1.409337,1.00116,0.970821,1.044203,1.233628,1.020986,1.052564,1.053252,0.987531,1.026687,0.7862,1.064215,0.990289,0.875391,1.177325,1.221938,1.135897,1.148791,1.110997,1.017617,1.088764,1.029878,1.004526,1.272338
1.382804,1.00413,0.984649,1.035915,1.249356,1.027098,1.045025,1.047312,0.978714,1.024873,0.781606,1.063355,1.015065,0.864596,1.162787,1.198672,1.081197,1.094027,1.106517,1.008489,1.093999,1.039245,1.002218,1.253518
1.38487,1.00101,0.965534,1.074703,1.22759,1.03741,1.056813,1.027517,0.986396,1.017834,0.785874,1.080561,1.006569,0.874739,1.178475,1.225691,1.076796,1.095081,1.13424,1.050132,1.122798,1.045196,1.01256,1.218324
1.370536,0.981053,0.961478,1.067164,1.231201,1.03527,1.025523,1.017885,0.972851,1.002434,0.777603,1.050796,0.996027,0.857674,1.174907,1.203159,1.007826,1.076917,1.120086,1.016881,1.059423,1.039279,0.996745,1.212942
1.35432,0.977457,0.947057,1.032854,1.211308,1.029564,1.000103,1.012284,0.944196,1.000021,0.757207,1.049912,1.000296,0.855133,1.172437,1.213378,0.989028,1.043587,1.097075,0.986344,1.056145,1.018583,0.997131,1.205635
1.388391,0.982877,0.961623,1.02883,1.241722,1.038351,1.041159,1.061853,0.966794,1.005663,0.758882,1.061458,1.012419,0.874319,1.173693,1.204053,1.01902,1.085721,1.115334,1.02338,1.089848,1.017152,0.999886,1.20189
1.362672,0.997642,0.954509,1.038676,1.253047,1.047915,1.037404,1.052695,0.981252,1.001021,0.778579,1.045916,1.001886,0.860633,1.155233,1.215651,1.029219,1.111764,1.131948,1.048421,1.085633,1.024342,0.990183,1.192902
1.325195,0.981961,0.953665,1.037938,1.223215,1.021044,0.996951,1.003258,0.958292,0.998441,0.767283,1.049832,1.000046,0.84872,1.154812,1.202972,1.036353,1.046224,1.118902,1.016447,1.062406,1.011918,0.988979,1.185611
1.332797,0.972277,0.935115,1.025805,1.21056,1.048283,0.969588,0.993443,0.979801,0.980516,0.765224,1.041398,0.977403,0.843393,1.120214,1.194217,1.062285,1.075064,1.095516,0.986886,1.029081,1.010137,0.978172,1.182376
1.341741,0.966187,0.953688,1.010448,1.234713,1.008174,0.96134,0.972124,0.972114,0.992873,0.75316,1.048972,0.973507,0.837137,1.124638,1.185177,1.057194,1.057102,1.108441,0.996444,1.024807,1.006366,0.976935,1.185281
1.348936,0.990841,0.947868,1.048677,1.240621,1.02653,1.022342,0.989021,0.979049,0.990072,0.783854,1.055888,0.9998,0.868499,1.157657,1.199519,1.070423,1.079977,1.107722,1.01007,1.085739,1.016909,0.992884,1.199304
1.383912,0.976566,0.958161,1.041062,1.231261,1.032424,1.033497,1.021772,0.983639,0.999237,0.774052,1.054256,0.992301,0.840228,1.14143,1.199038,1.066084,1.048343,1.092379,1.031531,1.11616,1.016198,0.980104,1.18544
1.358297,0.966338,0.944733,1.033976,1.250071,1.010777,1.042916,1.032474,0.968098,0.987292,0.759195,1.030111,0.993114,0.841387,1.143327,1.19666,1.052344,1.06383,1.095162,1.026846,1.095629,1.008368,0.9783,1.177197
1.392439,0.990903,0.953077,1.048052,1.269187,1.030961,1.255357,1.231429,0.979777,0.996068,0.771684,1.041506,1.016387,0.859541,1.143894,1.197696,1.031397,1.09467,1.083846,1.074644,1.250687,1.019719,0.983953,1.169159
1.376997,0.995939,0.963505,1.036834,1.263759,1.013902,1.175839,1.346859,0.969157,1.00499,0.778408,1.038848,1.002782,0.866082,1.177312,1.209275,1.063185,1.068327,1.130763,1.058748,1.157375,1.019556,0.987237,1.164137
1.40881,0.997336,0.955879,1.042072,1.273186,1.021865,1.085149,1.207587,0.960101,0.995643,0.770158,1.050615,0.999666,0.871994,1.178603,1.198097,1.064224,1.07563,1.192545,1.023575,1.105665,1.01972,0.985003,1.17446
1.382752,0.979414,0.955595,1.046595,1.240164,1.008616,1.040137,1.094142,0.947849,1.003335,0.785848,1.054618,0.989128,0.8563,1.158222,1.199702,1.035861,1.044308,1.073691,1.007968,1.098953,1.010739,0.98232,1.176604
1.376935,0.980292,0.952981,1.021589,1.264179,1.001049,0.986379,1.033746,0.998966,0.984594,0.772517,1.057193,0.991955,0.860753,1.148141,1.208185,1.015403,1.038217,1.103934,0.986633,1.04651,1.021578,0.965905,1.169858
1.366331,0.986409,0.940154,1.02449,1.218755,1.000314,0.980529,1.008352,0.979733,0.987192,0.739705,1.047388,0.988614,0.861237,1.111483,1.193023,1.015381,1.033005,1.090832,0.979825,1.038596,1.023914,0.967967,1.155367
1.367943,0.986506,0.960466,1.043006,1.242746,1.02266,0.975819,1.017354,0.982004,0.989459,0.759159,1.052309,0.998832,0.866373,1.138077,1.205556,1.052296,1.022434,1.10839,0.992366,1.036974,1.021916,0.977976,1.173505
1.358202,1.00613,0.957398,1.060547,1.241042,0.993395,0.958098,0.999198,0.960878,0.98656,0.781359,1.050736,0.990056,0.849548,1.119894,1.206869,1.0714,1.045645,1.109815,0.987488,1.034774,1.029399,0.981534,1.17065
