Neuron,FPS,Peak Intensities,Distances,Peak Location (s),Peak Value,Amplitude,FWHM (s),Mean Rise Rate (s^-1),Stdev Mean Rise Rate(s^-1),Peak Rise Rate (s^-1),Mean Fall Rate(s^-1),Stdev Mean Fall Rate(s^-1),Peak Fall Rate (s^-1),Cell Info,,,,,,,,,
1.02557,1.066353,1.04659,1.036932,1.055405,1.055672,1.053361,1.044937,1.13108,1.095522,1.055708,1.125693,1.076455,1.013709,1.133203,1.079437,1.091963,1.107156,1.090042,1.082823,1.064849,1.082683,1.102195,1.107144
1.021657,1.039686,1.023744,1.03806,1.031247,1.069431,1.043648,1.033923,1.122733,1.089689,1.030332,1.102511,1.085111,0.998203,1.093557,1.064032,1.081088,1.153625,1.06043,1.055404,1.051231,1.061017,1.077869,1.079107
1.015087,1.040093,1.028607,1.036627,1.035359,1.068225,1.039213,1.026598,1.118546,1.069558,1.052795,1.07846,1.05869,0.982116,1.090113,1.060633,1.064989,1.092217,1.066023,1.05628,1.048055,1.07377,1.087508,1.067618
1.000533,1.043222,1.02429,1.051114,1.006842,1.031613,1.021844,1.011683,1.076941,1.060716,1.024513,1.061042,1.040457,0.961142,1.097048,1.052479,1.056067,1.069934,1.051956,1.040503,1.028776,1.05284,1.062571,1.065225
1.017439,1.01463,1.025924,1.073254,1.02931,1.040593,1.023596,1.020333,1.09091,1.047629,1.021106,1.052345,1.030788,0.954491,1.076684,1.037509,1.049541,1.062354,1.036986,1.028218,1.032232,1.055054,1.054004,1.064555
1.000374,1.006179,0.998562,1.018767,1.011097,1.008634,1.015324,1.003791,1.056221,1.030671,0.999886,1.039139,1.0176,0.946847,1.042827,1.021832,1.032676,1.043769,1.015897,1.033156,1.021313,1.027734,1.027804,1.045195
0.986653,0.985908,0.99884,0.994111,0.991879,0.991785,1.007616,0.997123,1.021742,1.022923,1.004743,1.025163,1.006294,0.945045,1.031805,1.018223,1.022351,1.034525,1.014111,1.035202,1.01005,1.031547,1.01767,1.040584
1.010181,1.000576,1.008965,1.000296,0.994916,0.996662,1.008482,1.00743,1.023223,1.024268,1.000177,1.019663,1.009885,0.947987,1.021173,1.016028,1.05298,1.023439,1.019325,1.028329,1.008808,1.008649,1.021894,1.030024
0.981395,0.994502,1.010066,0.996246,1.021338,1.001809,1.013393,1.010884,1.029347,1.016601,0.994441,1.019993,1.020509,0.935492,1.026724,1.018198,1.01394,1.020078,1.014634,1.008641,1.012547,1.020171,1.007415,1.030934
1.022845,1.024293,1.011971,1.00616,1.020943,1.004365,1.010873,1.014568,1.022766,1.025329,1.000044,1.020221,1.020923,0.942042,1.035394,1.013785,1.030098,1.036629,1.014345,1.012103,1.005835,1.015974,1.018017,1.023822
1.005166,0.992615,0.991861,1.009719,1.026251,1.002349,1.000282,0.994371,1.008298,1.014294,1.00731,1.009876,1.017231,0.938175,1.025658,1.003218,1.030622,1.020799,1.00285,1.011352,1.007719,1.010341,1.014223,1.021384
0.978775,1.012516,1.00248,1.009395,1.020553,0.977589,1.003743,0.987866,1.026465,1.004762,0.978201,1.005493,0.993402,0.938241,1.00381,0.995832,1.008723,0.994547,1.000686,0.996465,0.996583,1.00494,1.00656,1.00556
1.007361,0.992277,0.991438,0.998889,1.009366,1.016806,1.000356,0.988191,0.99753,0.996439,0.985108,1.005364,1.009352,0.95812,0.99228,0.987616,1.000353,1.008452,0.998279,0.98789,0.988708,1.007094,0.988297,1.008731
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.991715,1.445163,1.475722,1.090687,1.126281,2.284406,3.324732,3.042525,4.153486,4.331957,2.701791,3.957738,4.27063,3.295413,4.014728,4.21816,3.692969,3.130039,3.809135,3.57522,3.421389,4.852004,3.666259,4.657664
0.945355,3.09274,2.909438,1.742958,4.073811,3.703273,3.228916,3.149613,4.11512,3.802587,2.745997,3.946541,4.337585,3.129061,3.888721,4.386369,3.704627,3.425452,3.861384,3.56289,3.33027,4.641405,3.432267,4.680791
0.481105,2.644764,2.382863,2.101915,3.679392,3.03205,2.845214,2.733674,3.353672,2.913048,2.121242,3.411191,3.786453,2.588526,3.054826,3.889429,3.146819,2.604021,3.335928,3.05695,2.929291,4.026472,2.833696,4.198393
1.979252,2.336697,2.179232,2.440283,3.153519,3.128005,2.979927,2.835517,3.361522,2.785509,2.227402,3.374678,3.74377,2.753153,2.998872,3.953725,3.175711,2.78945,3.373232,3.102388,3.05001,3.912773,2.763215,4.200079
3.113346,2.371554,2.243008,2.5972,2.912099,3.209406,3.081953,2.908604,3.334548,2.715105,2.312126,3.355366,3.74382,2.918262,2.93331,4.018763,3.209662,2.964196,3.404338,3.120799,3.124661,3.794915,2.740176,4.204402
2.626095,2.835978,2.577149,2.586433,3.387657,3.288252,3.089446,2.923128,3.240798,2.634762,2.245546,3.266948,3.65078,2.937839,2.844749,3.948867,3.178832,3.123117,3.366238,3.050601,3.098344,3.634477,2.679355,4.085852
2.186062,3.085447,2.801776,2.30758,3.528976,3.473963,3.054577,2.909776,3.056776,2.567298,2.170851,3.206914,3.590169,2.939363,2.76756,3.844377,3.107393,3.22708,3.285786,2.984906,3.084006,3.454125,2.611577,3.981404
2.441799,2.525575,2.47235,1.935784,3.286273,3.532128,2.989607,2.857129,2.930435,2.495979,2.064134,3.127642,3.460789,2.882611,2.606772,3.761444,3.03426,3.294031,3.17476,2.862814,2.998212,3.273282,2.544128,3.884567
2.643613,2.074686,2.105286,1.947284,3.266036,3.51314,2.893171,2.758231,2.828108,2.416266,1.936558,3.027823,3.362521,2.799616,2.427785,3.636031,2.954734,3.259593,3.003649,2.721151,2.887444,3.079336,2.497694,3.797403
2.595652,2.232472,2.200433,2.290525,3.470979,3.548876,2.803921,2.661415,2.721231,2.359368,1.828205,2.969213,3.321985,2.701684,2.299478,3.490531,2.872722,3.242015,2.851838,2.579444,2.776163,2.921199,2.447121,3.733344
2.56303,2.689531,2.48077,2.540324,3.577548,3.515495,2.71063,2.591919,2.606335,2.293657,1.683645,2.89523,3.219136,2.553493,2.210406,3.309869,2.812048,3.188161,2.704436,2.429178,2.678391,2.785513,2.38255,3.684699
2.449207,2.578197,2.404439,2.218998,3.553832,3.495667,2.58994,2.454333,2.492701,2.218044,1.570152,2.823657,3.153859,2.367258,2.142217,3.079472,2.712591,3.082965,2.552715,2.310849,2.553285,2.671589,2.327793,3.619297
2.455073,2.09143,2.073216,1.789969,3.575646,3.44701,2.455005,2.33639,2.370346,2.155971,1.493443,2.73785,3.094038,2.179324,2.065506,2.868225,2.653537,2.951735,2.36564,2.221472,2.405971,2.579565,2.281708,3.578349
2.383658,1.895593,1.891564,1.590853,3.414698,3.295148,2.310815,2.204789,2.25125,2.095372,1.365636,2.654018,3.023371,1.996612,2.014773,2.732791,2.557303,2.79709,2.200655,2.12136,2.261903,2.450455,2.220965,3.480038
2.456772,2.276544,2.122642,1.823637,3.386524,3.178164,2.20419,2.097468,2.243174,2.049252,1.276691,2.608544,2.905352,1.908328,1.975931,2.626527,2.485736,2.60355,2.064175,1.927766,2.123246,2.351191,2.174024,3.447988
2.481126,2.496932,2.261996,2.084772,3.347091,3.011032,2.031131,1.9294,2.143111,1.983668,1.203983,2.553964,2.881903,1.836254,1.94107,2.555799,2.403027,2.428591,1.969985,1.811641,1.994715,2.269934,2.140876,3.448577
2.433943,2.140759,2.024679,1.921051,3.233069,2.912297,1.858773,1.761438,2.107378,1.949971,1.164429,2.521606,2.778731,1.809957,1.933891,2.474161,2.321422,2.253092,1.908703,1.778769,1.871926,2.228541,2.102008,3.427551
