FOV 5 Cell 1,FOV 5 Cell 2,FOV 5 Cell 3,FOV 5 Cell 4,FOV 5 Cell 5,FOV 5 Cell 6,FOV 6 Cell 1,FOV 6 Cell 2,FOV 6 Cell 3,FOV 6 Cell 4,FOV 6 Cell 5,FOV 7 Cell 1,FOV 7 Cell 2,FOV 7 Cell 3,FOV 7 Cell 4,FOV 7 Cell 5,FOV 7 Cell 6,FOV 8 Cell 1,FOV 8 Cell 2,FOV 8 Cell 3,FOV 8 Cell 4,FOV 8 Cell 5,FOV 8 Cell 6,FOV 8 Cell 7,FOV 8 Cell 8,FOV 8 Cell 9,FOV 8 Cell 10,FOV 8 Cell 11,FOV 8 Cell 12,FOV 2 Cell 1,FOV 2 Cell 2,FOV 2 Cell 3,FOV 2 Cell 4,FOV 2 Cell 5,FOV 2 Cell 6,FOV 2 Cell 7,FOV 2 Cell 8,FOV 4 Cell 1,FOV 4 Cell 2,FOV 4 Cell 3,FOV 4 Cell 4,FOV 4 Cell 5,FOV 4 Cell 6,FOV 4 Cell 7,FOV 4 Cell 8,FOV 4 Cell 9,FOV 4 Cell 10,FOV 4 Cell 11,FOV 4 Cell 12,FOV 4 Cell 13,FOV 4 Cell 14,FOV 5 Cell 1,FOV 5 Cell 2,FOV 5 Cell 3,FOV 5 Cell 4,FOV 5 Cell 5,FOV 5 Cell 6,FOV 5 Cell 7,FOV 5 Cell 8,FOV 5 Cell 9,FOV 5 Cell 10
1.267683,1.382862,1.300065,1.230316,1.262688,1.236785,1.059807,1.05045,1.04006,1.035514,1.037453,1.026009,1.062228,1.115436,1.064666,1.00488,1.033091,1.040457,0.961142,1.097048,1.052479,1.056067,1.069934,1.051956,1.040503,1.028776,1.05284,1.062571,1.065225,3.32261861,2.999830368,3.922638647,2.679871949,3.1166918,3.128889394,4.108923144,3.432676098,1.038929,0.995089,0.981093,1.027819,1.020092,1.067559,0.978682,0.943384,1.081258,0.982722,0.996823,0.891706,0.991855,1.010843,1.079103,1.034087,1.025273,1.048543,1.11185,0.999099,1.055281,1.110689,1.000278,0.998951
1.253719,1.340767,1.271964,1.200204,1.232645,1.225236,1.052897,1.032671,1.032766,1.02435,1.042912,1.009683,1.049096,1.0725,1.06156,1.017237,1.021876,1.030788,0.954491,1.076684,1.037509,1.049541,1.062354,1.036986,1.028218,1.032232,1.055054,1.054004,1.064555,2.92776657,2.66756671,4.053334551,2.179116333,3.173349679,3.271929556,4.108567318,3.599766427,1.051671,0.988716,0.967083,0.951767,1.024562,1.056499,0.983737,0.949121,1.031036,1.002649,0.992633,0.910774,0.999454,1.022738,1.06528,1.05798,1.051833,1.08651,1.132653,1.007546,1.092985,1.094477,0.998598,0.968935
1.238642,1.327701,1.265291,1.17528,1.227604,1.218638,1.048691,1.028025,1.025973,0.994974,1.038427,1.020891,1.049017,1.056168,1.045001,1.013412,1.004844,1.0176,0.946847,1.042827,1.021832,1.032676,1.043769,1.015897,1.033156,1.021313,1.027734,1.027804,1.045195,2.665456159,2.251568095,3.968233777,1.873310327,3.132964131,3.269948045,3.988124424,3.622676561,1.00659,0.976243,0.965702,0.988646,1.010634,0.971545,0.970636,0.946646,1.02683,1.011115,0.995768,0.879582,0.986079,1.026354,1.069378,1.037909,1.051451,1.090273,1.112504,1.012523,1.05729,1.068018,1.001149,0.957309
1.199922,1.331537,1.23819,1.171672,1.206296,1.183587,1.031998,1.033779,1.022213,0.988432,1.02986,1.007957,1.012483,1.052762,1.039398,0.990707,1.002742,1.006294,0.945045,1.031805,1.018223,1.022351,1.034525,1.014111,1.035202,1.01005,1.031547,1.01767,1.040584,2.404888543,1.832317006,3.764459497,1.594202071,3.027552448,3.178181798,3.823482902,3.517796742,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.062474,0.995078,1.021644,1.060188,1.079256,1.008939,1.089096,1.055503,0.964309,1.02395
1.192192,1.238328,1.20741,1.126991,1.185343,1.163223,1.026426,1.031888,1.017192,0.992507,1.031566,0.983547,1.002493,1.017636,1.014915,0.948272,0.928036,1.009885,0.947987,1.021173,1.016028,1.05298,1.023439,1.019325,1.028329,1.008808,1.008649,1.021894,1.030024,2.226183712,1.514914543,3.609247459,1.383380015,2.935376515,3.102719174,3.701767607,3.436292776,2.156224,1.413728,1.324192,1.518745,1.704249,1.111095,1.146676,1.728688,1.29906,2.712344,2.676227,1.920844,2.046487,2.108849,1.062193,1.001977,1.033618,1.07788,1.075848,1.011002,1.04831,1.053243,1.085308,1.028283
1.172198,1.190591,1.215592,1.129628,1.176888,1.171112,1.025284,1.018764,1.02746,0.992933,1.038301,0.996685,1.015336,1.018628,1.01427,0.965053,0.971744,1.020509,0.935492,1.026724,1.018198,1.01394,1.020078,1.014634,1.008641,1.012547,1.020171,1.007415,1.030934,2.158136002,1.318924172,3.555603448,1.248927916,2.891102433,3.081773114,3.654979747,3.420007544,2.079405,1.410216,1.4624,1.644149,2.207447,1.984846,2.436358,1.461921,2.465818,2.757456,2.793372,2.00189,2.124595,2.200731,1.050186,1.048712,0.980717,1.051336,1.073346,0.999554,1.020453,1.042531,0.995165,0.956279
1.159414,1.168879,1.221568,1.135225,1.170226,1.153195,1.023039,1.029766,1.029542,0.980174,1.021262,0.983201,1.007238,1.016781,1.008824,0.931434,0.945101,1.020923,0.942042,1.035394,1.013785,1.030098,1.036629,1.014345,1.012103,1.005835,1.015974,1.018017,1.023822,2.088611061,1.153049856,3.475907167,1.128687008,2.828834407,3.042600572,3.595629389,3.372594894,1.986849,1.351537,1.332336,1.677598,2.157838,2.089771,2.167865,2.304102,2.54138,2.822748,2.738136,2.034618,2.101668,2.18383,1.047198,1.081772,1.099839,1.044426,1.06002,0.95519,1.011073,1.028576,0.954507,0.912937
1.142852,1.145419,1.241737,1.134295,1.14924,1.132268,1.019682,1.027162,1.016741,0.972993,1.020122,0.956993,0.979273,0.997402,0.992077,0.882816,0.894495,1.017231,0.938175,1.025658,1.003218,1.030622,1.020799,1.00285,1.011352,1.007719,1.010341,1.014223,1.021384,2.047505944,1.034572189,3.423720106,1.039604904,2.780811871,3.013411355,3.547343636,3.343210814,1.873631,1.241731,1.214333,1.616237,1.961645,2.006403,1.955735,2.127843,2.456094,2.860635,2.589655,1.995988,2.060839,2.121329,1.018318,1.00219,1.005845,1.070651,1.033399,0.989009,1.032643,1.050935,0.979468,0.935813
1.141379,1.15579,1.2222,1.120133,1.142385,1.131905,1.021092,1.037196,1.015878,0.981325,1.030354,0.979289,0.993291,0.99549,0.999945,0.934417,0.963014,0.993402,0.938241,1.00381,0.995832,1.008723,0.994547,1.000686,0.996465,0.996583,1.00494,1.00656,1.00556,2.035797859,0.963393732,3.395784679,0.975191432,2.751433798,3.003180533,3.526142901,3.322507644,1.805192,1.181122,1.155552,1.614099,1.84334,1.964161,1.85436,1.76543,2.30204,2.872054,2.301654,1.996621,2.012735,2.086753,1.0177,0.968206,0.933142,1.127421,1.021315,0.976943,0.994479,1.040509,1.03174,1.023032
1.112196,1.155456,1.185823,1.104796,1.129029,1.120239,1.032629,1.03758,1.013896,0.988623,1.038586,0.993812,1.022597,1.01175,1.01173,0.981525,0.980452,1.009352,0.95812,0.99228,0.987616,1.000353,1.008452,0.998279,0.98789,0.988708,1.007094,0.988297,1.008731,2.081919187,0.957801606,3.428290387,0.953316106,2.752887483,3.025966376,3.549189152,3.360787045,1.76331,1.155808,1.168974,1.618691,1.863357,1.94309,1.825056,1.393101,2.166891,2.931319,1.963377,2.002259,1.975696,2.087272,0.987601,0.948093,0.932106,1.026494,1.013836,0.950569,0.991723,1.021536,0.923102,1.03936
