,Live Cytoplasm,Live Nuclei,Dead Cytoplasm,Dead Nuclei
FOV 7 Cell 28,2.441986,3.698107,,
FOV 7 Cell 29,2.577442,3.643217,,
FOV 7 Cell 3,3.352997,4.055243,2.048237,2.390118
FOV 7 Cell 30,3.641401,4.859464,,
FOV 7 Cell 31,4.023496,4.61187,,
FOV 7 Cell 32,4.392818,4.726081,,
FOV 7 Cell 33,3.449022,4.206745,,
FOV 7 Cell 34,3.817568,4.337287,,
FOV 7 Cell 35,3.779896,4.244514,,
FOV 7 Cell 36,3.325292,3.220614,,
FOV 7 Cell 37,3.746816,3.747071,,
FOV 7 Cell 38,3.206823,3.537762,,
FOV 7 Cell 39,2.592451,2.989966,,
FOV 7 Cell 4,2.665408,2.606549,2.814936,2.802331
FOV 7 Cell 5,3.090116,2.804133,2.790101,3.089479
FOV 7 Cell 6,2.654075,2.858594,2.107195,2.460531
FOV 7 Cell 7,2.599372,2.401466,,
FOV 7 Cell 8,2.483982,2.391027,,
FOV 7 Cell 9,2.497084,2.367586,,
FOV 8 Cell 1,3.113346,3.951255,4.337585,5.524487
FOV 8 Cell 10,4.331957,5.386791,4.852004,3.190581
FOV 8 Cell 11,2.745997,2.636347,3.666259,3.984696
FOV 8 Cell 12,3.957738,3.876628,4.680791,4.919972
FOV 8 Cell 2,3.09274,2.463771,3.295413,3.069343
FOV 8 Cell 3,2.909438,2.171841,4.014728,3.269324
FOV 8 Cell 4,2.5972,2.934064,4.386369,3.740278
FOV 8 Cell 5,4.073811,3.369037,3.704627,3.17392
FOV 8 Cell 6,3.703273,3.27836,3.425452,3.119691
FOV 8 Cell 7,3.324732,3.753309,3.861384,3.542903
FOV 8 Cell 8,3.149613,3.374601,3.57522,3.828324
FOV 8 Cell 9,4.153486,4.329383,3.421389,3.47925
